Against,Beneficiary,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
Pittsburgh,Tennessee,09/10/2009,Bill Leavy,6,60,4,30,2,30,0,0,2,2,0,0,0,1,1,2009
Tennessee,Pittsburgh,09/10/2009,Bill Leavy,5,28,3,13,1,5,1,10,4,3,1,0,0,1,1,2009
Miami,Atlanta,09/13/2009,Walt Coleman,4,27,2,20,2,7,0,0,1,0,1,0,1,1,1,2009
Atlanta,Miami,09/13/2009,Walt Coleman,4,35,2,25,2,10,0,0,2,0,2,0,0,1,1,2009
Baltimore,Kansas City,09/13/2009,Gene Steratore,8,65,4,29,2,18,2,18,1,1,0,0,1,1,1,2009
Kansas City,Baltimore,09/13/2009,Gene Steratore,3,15,1,5,1,5,1,5,2,1,0,1,0,1,1,2009
Philadelphia,Carolina,09/13/2009,Jeff Triplette,9,76,6,40,2,21,1,15,6,5,1,0,0,0,1,2009
Carolina,Philadelphia,09/13/2009,Jeff Triplette,5,30,4,25,1,5,0,0,4,3,1,0,0,0,1,2009
Cincinnati,Denver,09/13/2009,Jerome Boger,4,27,3,22,1,5,0,0,1,0,1,0,1,0,1,2009
Denver,Cincinnati,09/13/2009,Jerome Boger,6,39,4,30,0,0,2,9,3,2,0,1,1,0,1,2009
Cleveland,Minnesota,09/13/2009,John Parry,8,66,6,40,1,16,1,10,4,4,0,0,0,0,1,2009
Minnesota,Cleveland,09/13/2009,John Parry,3,38,1,5,2,33,0,0,2,1,1,0,1,0,1,2009
Houston,N.Y. Jets,09/13/2009,Ed Hochuli,6,37,2,7,2,10,2,20,1,1,0,0,1,0,1,2009
N.Y. Jets,Houston,09/13/2009,Ed Hochuli,10,80,7,50,1,5,2,25,5,5,0,0,2,0,1,2009
Jacksonville,Indianapolis,09/13/2009,Tony Corrente,3,24,1,4,2,20,0,0,1,1,0,0,0,0,1,2009
Indianapolis,Jacksonville,09/13/2009,Tony Corrente,3,17,1,5,2,12,0,0,2,1,1,0,0,0,1,2009
Detroit,New Orleans,09/13/2009,Mike Carey,8,80,4,40,4,40,0,0,3,2,1,0,1,0,1,2009
New Orleans,Detroit,09/13/2009,Mike Carey,7,36,4,30,2,1,1,5,2,2,0,0,1,0,1,2009
Tampa Bay,Dallas,09/13/2009,Al Riveron,3,15,1,5,1,5,1,5,2,1,1,0,1,0,1,2009
Dallas,Tampa Bay,09/13/2009,Al Riveron,4,41,1,15,2,16,1,10,0,0,0,0,1,0,1,2009
San Francisco,Arizona,09/13/2009,Don Carey,4,31,0,0,2,10,2,21,1,0,1,0,0,0,1,2009
Arizona,San Francisco,09/13/2009,Don Carey,12,82,6,40,4,29,2,13,8,4,3,1,0,0,1,2009
Washington,N.Y. Giants,09/13/2009,Terry McAulay,4,32,0,0,3,22,1,10,1,0,1,0,2,1,1,2009
N.Y. Giants,Washington,09/13/2009,Terry McAulay,4,30,3,20,0,0,1,10,2,2,0,0,0,1,1,2009
St. Louis,Seattle,09/13/2009,Pete Morelli,10,85,8,65,1,15,1,5,6,5,0,1,1,0,1,2009
Seattle,St. Louis,09/13/2009,Pete Morelli,4,25,0,0,3,15,1,10,3,0,3,0,0,0,1,2009
Green Bay,Chicago,09/13/2009,Ron Winter,6,45,3,25,2,10,1,10,1,1,0,0,0,0,1,2009
Chicago,Green Bay,09/13/2009,Ron Winter,3,25,2,10,1,15,0,0,2,2,0,0,0,0,1,2009
Buffalo,New England,09/14/2009,Scott Green,9,71,6,41,2,20,1,10,4,4,0,0,1,0,1,2009
New England,Buffalo,09/14/2009,Scott Green,6,55,3,20,3,35,0,0,3,2,1,0,0,0,1,2009
San Diego,Oakland,09/14/2009,Carl Cheffers,9,60,6,45,3,15,0,0,5,4,1,0,0,0,1,2009
Oakland,San Diego,09/14/2009,Carl Cheffers,6,40,5,35,1,5,0,0,4,3,1,0,0,0,1,2009
Atlanta,Carolina,09/20/2009,Don Carey,6,40,4,30,2,10,0,0,4,2,2,0,0,0,2,2009
Carolina,Atlanta,09/20/2009,Don Carey,6,35,3,20,2,9,1,6,3,2,1,0,2,0,2,2009
Detroit,Minnesota,09/20/2009,Carl Cheffers,6,45,4,35,1,5,1,5,2,1,0,1,0,0,2,2009
Minnesota,Detroit,09/20/2009,Carl Cheffers,5,43,2,10,2,23,1,10,2,2,0,0,1,0,2,2009
Cincinnati,Green Bay,09/20/2009,Ed Hochuli,13,100,9,60,4,40,0,0,6,6,0,0,1,0,2,2009
Green Bay,Cincinnati,09/20/2009,Ed Hochuli,11,76,2,10,4,31,5,35,5,2,1,2,2,0,2,2009
Arizona,Jacksonville,09/20/2009,Gene Steratore,7,58,4,30,2,23,1,5,3,1,1,1,0,0,2,2009
Jacksonville,Arizona,09/20/2009,Gene Steratore,8,50,4,20,2,10,2,20,6,4,2,0,0,0,2,2009
Oakland,Kansas City,09/20/2009,Walt Anderson,7,45,4,20,3,25,0,0,5,4,1,0,1,0,2,2009
Kansas City,Oakland,09/20/2009,Walt Anderson,9,70,7,50,2,20,0,0,3,3,0,0,1,0,2,2009
N.Y. Jets,New England,09/20/2009,John Parry,8,55,3,14,4,31,1,10,4,2,2,0,2,0,2,2009
New England,N.Y. Jets,09/20/2009,John Parry,11,89,7,50,0,0,4,39,5,4,0,1,0,0,2,2009
Philadelphia,New Orleans,09/20/2009,Al Riveron,7,45,2,10,0,0,5,35,3,2,0,1,4,0,2,2009
New Orleans,Philadelphia,09/20/2009,Al Riveron,3,13,2,8,0,0,1,5,3,2,0,1,2,0,2,2009
Houston,Tennessee,09/20/2009,Walt Coleman,6,40,4,30,2,10,0,0,3,3,0,0,1,1,2,2009
Tennessee,Houston,09/20/2009,Walt Coleman,8,64,4,20,2,19,2,25,4,3,1,0,6,1,2,2009
Washington,St. Louis,09/20/2009,Jerome Boger,5,35,3,15,2,20,0,0,3,3,0,0,1,0,2,2009
St. Louis,Washington,09/20/2009,Jerome Boger,6,45,5,40,0,0,1,5,3,2,0,1,1,0,2,2009
Tampa Bay,Buffalo,09/20/2009,Ron Winter,13,112,7,55,4,50,2,7,6,4,1,1,2,0,2,2009
Buffalo,Tampa Bay,09/20/2009,Ron Winter,7,55,1,5,2,20,4,30,2,1,1,0,2,0,2,2009
Seattle,San Francisco,09/20/2009,Bill Leavy,6,45,4,25,2,20,0,0,4,3,1,0,0,0,2,2009
San Francisco,Seattle,09/20/2009,Bill Leavy,6,54,3,21,2,23,1,10,2,1,1,0,1,0,2,2009
Pittsburgh,Chicago,09/20/2009,Scott Green,6,52,1,5,2,20,3,27,1,1,0,0,1,0,2,2009
Chicago,Pittsburgh,09/20/2009,Scott Green,10,80,4,30,4,35,2,15,5,2,2,1,0,0,2,2009
Denver,Cleveland,09/20/2009,Pete Morelli,5,50,3,25,1,15,1,10,2,2,0,0,0,0,2,2009
Cleveland,Denver,09/20/2009,Pete Morelli,4,43,1,5,3,38,0,0,1,1,0,0,0,0,2,2009
San Diego,Baltimore,09/20/2009,Tony Corrente,12,85,6,44,3,31,3,10,6,4,2,0,1,0,2,2009
Baltimore,San Diego,09/20/2009,Tony Corrente,4,32,1,5,2,12,1,15,1,1,0,0,1,0,2,2009
N.Y. Giants,Dallas,09/20/2009,Mike Carey,4,40,1,10,2,20,1,10,1,0,1,0,1,0,2,2009
Dallas,N.Y. Giants,09/20/2009,Mike Carey,4,50,1,6,2,39,1,5,1,0,0,1,0,0,2,2009
Miami,Indianapolis,09/21/2009,Terry McAulay,4,20,1,5,2,10,1,5,3,1,2,0,0,0,2,2009
Indianapolis,Miami,09/21/2009,Terry McAulay,4,20,1,5,3,15,0,0,4,1,3,0,2,0,2,2009
Cleveland,Baltimore,09/27/2009,Terry McAulay,5,46,2,15,2,26,1,5,1,1,0,0,5,0,3,2009
Baltimore,Cleveland,09/27/2009,Terry McAulay,8,84,3,26,2,40,3,18,2,1,0,1,1,0,3,2009
Cincinnati,Pittsburgh,09/27/2009,Gene Steratore,4,30,3,20,0,0,1,10,2,2,0,0,1,0,3,2009
Pittsburgh,Cincinnati,09/27/2009,Gene Steratore,5,51,3,29,2,22,0,0,0,0,0,0,1,0,3,2009
Detroit,Washington,09/27/2009,Scott Green,8,58,3,22,3,25,2,11,4,1,2,1,0,0,3,2009
Washington,Detroit,09/27/2009,Scott Green,9,97,4,26,4,62,1,9,5,3,2,0,0,0,3,2009
Jacksonville,Houston,09/27/2009,Ron Winter,5,40,2,15,1,15,2,10,2,0,0,2,1,0,3,2009
Houston,Jacksonville,09/27/2009,Ron Winter,5,60,2,15,3,45,0,0,1,1,0,0,0,0,3,2009
San Francisco,Minnesota,09/27/2009,Jerome Boger,7,60,4,25,3,35,0,0,3,3,0,0,0,0,3,2009
Minnesota,San Francisco,09/27/2009,Jerome Boger,9,52,4,24,3,16,2,12,5,2,2,1,2,0,3,2009
Atlanta,New England,09/27/2009,Al Riveron,7,54,2,15,3,29,2,10,1,1,0,0,0,0,3,2009
New England,Atlanta,09/27/2009,Al Riveron,2,10,1,5,0,0,1,5,1,1,0,0,0,0,3,2009
Philadelphia,Kansas City,09/27/2009,John Parry,3,20,0,0,1,5,2,15,2,0,1,1,0,0,3,2009
Kansas City,Philadelphia,09/27/2009,John Parry,10,90,7,60,1,15,2,15,2,2,0,0,1,0,3,2009
St. Louis,Green Bay,09/27/2009,Walt Coleman,6,40,2,15,3,15,1,10,1,1,0,0,2,0,3,2009
Green Bay,St. Louis,09/27/2009,Walt Coleman,6,51,2,15,2,20,2,16,1,1,0,0,0,0,3,2009
Tampa Bay,N.Y. Giants,09/27/2009,Jeff Triplette,5,25,2,10,3,15,0,0,3,2,1,0,1,0,3,2009
N.Y. Giants,Tampa Bay,09/27/2009,Jeff Triplette,5,60,3,25,1,25,1,10,1,1,0,0,1,0,3,2009
Buffalo,New Orleans,09/27/2009,Walt Anderson,12,116,6,48,2,30,4,38,2,2,0,0,2,0,3,2009
New Orleans,Buffalo,09/27/2009,Walt Anderson,9,97,5,40,3,47,1,10,2,2,0,0,0,0,3,2009
Seattle,Chicago,09/27/2009,Don Carey,4,45,1,5,1,15,2,25,1,1,0,0,0,0,3,2009
Chicago,Seattle,09/27/2009,Don Carey,6,60,4,30,2,30,0,0,3,3,0,0,1,0,3,2009
Arizona,Arizona,09/27/2009,Don Carey,6,35,3,25,1,5,2,5,2,1,0,1,0,1,3,2009
Tennessee,N.Y. Jets,09/27/2009,Mike Carey,3,15,3,15,0,0,0,0,3,3,0,0,0,0,3,2009
N.Y. Jets,Tennessee,09/27/2009,Mike Carey,3,25,3,25,0,0,0,0,1,1,0,0,0,0,3,2009
Denver,Oakland,09/27/2009,Ed Hochuli,5,30,3,20,2,10,0,0,3,2,1,0,1,1,3,2009
Oakland,Denver,09/27/2009,Ed Hochuli,6,53,3,25,3,28,0,0,2,1,1,0,1,1,3,2009
San Diego,Miami,09/27/2009,Bill Leavy,3,20,1,15,2,5,0,0,2,0,2,0,0,0,3,2009
Miami,San Diego,09/27/2009,Bill Leavy,7,39,5,25,2,14,0,0,4,4,0,0,0,0,3,2009
Indianapolis,Arizona,09/27/2009,Pete Morelli,7,69,2,15,3,36,2,18,1,1,0,0,1,1,3,2009
Carolina,Dallas,09/28/2009,Tony Corrente,6,60,3,25,2,30,1,5,2,1,0,1,0,0,3,2009
Dallas,Carolina,09/28/2009,Tony Corrente,9,80,7,60,0,0,2,20,3,3,0,0,0,0,3,2009
Chicago,Detroit,10/04/2009,Walt Coleman,3,36,0,0,2,31,1,5,1,0,0,1,1,1,4,2009
Detroit,Chicago,10/04/2009,Walt Coleman,7,51,4,30,0,0,3,21,4,3,0,1,0,1,4,2009
Cincinnati,Cleveland,10/04/2009,Scott Green,6,46,4,21,0,0,2,25,3,3,0,0,0,1,4,2009
Cleveland,Cincinnati,10/04/2009,Scott Green,5,44,2,15,1,4,2,25,0,0,0,0,2,1,4,2009
Oakland,Houston,10/04/2009,Don Carey,9,60,4,20,4,35,1,5,6,4,1,1,3,0,4,2009
Houston,Oakland,10/04/2009,Don Carey,1,5,0,0,1,5,0,0,0,0,0,0,0,0,4,2009
Seattle,Indianapolis,10/04/2009,Mike Carey,6,45,6,45,0,0,0,0,2,2,0,0,1,0,4,2009
Indianapolis,Seattle,10/04/2009,Mike Carey,7,48,4,35,2,8,1,5,2,1,0,1,0,0,4,2009
Tennessee,Jacksonville,10/04/2009,Al Riveron,6,68,1,6,2,37,3,25,1,1,0,0,1,0,4,2009
Jacksonville,Tennessee,10/04/2009,Al Riveron,4,30,3,25,1,5,0,0,1,1,0,0,0,0,4,2009
N.Y. Giants,Kansas City,10/04/2009,Jerome Boger,8,54,2,15,5,34,1,5,4,1,2,1,3,1,4,2009
Kansas City,N.Y. Giants,10/04/2009,Jerome Boger,7,55,5,25,2,30,0,0,5,5,0,0,1,1,4,2009
New England,Baltimore,10/04/2009,Ron Winter,5,41,2,15,2,20,1,6,3,1,1,1,4,0,4,2009
Baltimore,New England,10/04/2009,Ron Winter,9,85,4,30,4,50,1,5,3,2,0,1,0,0,4,2009
Tampa Bay,Washington,10/04/2009,Ed Hochuli,5,40,4,30,0,0,1,10,2,2,0,0,1,0,4,2009
Washington,Tampa Bay,10/04/2009,Ed Hochuli,4,40,4,40,0,0,0,0,1,1,0,0,0,0,4,2009
Miami,Buffalo,10/04/2009,Carl Cheffers,5,45,2,10,1,15,2,20,3,2,0,1,1,0,4,2009
Buffalo,Miami,10/04/2009,Carl Cheffers,3,19,2,9,0,0,1,10,1,1,0,0,0,0,4,2009
New Orleans,N.Y. Jets,10/04/2009,Bill Leavy,7,70,4,30,2,30,1,10,2,2,0,0,0,0,4,2009
N.Y. Jets,New Orleans,10/04/2009,Bill Leavy,3,21,1,15,2,6,0,0,2,0,2,0,0,0,4,2009
Denver,Dallas,10/04/2009,Walt Anderson,10,81,5,40,2,17,3,24,2,2,0,0,0,0,4,2009
Dallas,Denver,10/04/2009,Walt Anderson,7,70,4,35,3,35,0,0,1,1,0,0,1,0,4,2009
St. Louis,San Francisco,10/04/2009,Tony Corrente,10,73,5,25,3,31,2,17,3,3,0,0,0,0,4,2009
San Francisco,St. Louis,10/04/2009,Tony Corrente,3,33,3,33,0,0,0,0,0,0,0,0,2,0,4,2009
San Diego,Pittsburgh,10/04/2009,Jeff Triplette,3,20,0,0,2,15,1,5,0,0,0,0,1,0,4,2009
Pittsburgh,San Diego,10/04/2009,Jeff Triplette,6,59,3,25,2,31,1,3,2,1,1,0,1,0,4,2009
Green Bay,Minnesota,10/05/2009,Gene Steratore,7,57,2,15,3,22,2,20,1,1,0,0,2,0,4,2009
Minnesota,Green Bay,10/05/2009,Gene Steratore,2,10,0,0,2,10,0,0,2,0,2,0,1,0,4,2009
Cincinnati,Baltimore,10/11/2009,Jeff Triplette,7,39,6,34,1,5,0,0,6,5,1,0,0,0,5,2009
Baltimore,Cincinnati,10/11/2009,Jeff Triplette,10,76,3,30,6,41,1,5,4,1,2,1,2,0,5,2009
Buffalo,Cleveland,10/11/2009,Jerome Boger,13,75,11,65,1,5,1,5,10,9,1,0,2,0,5,2009
Cleveland,Buffalo,10/11/2009,Jerome Boger,3,29,0,0,2,17,1,12,0,0,0,0,1,0,5,2009
Carolina,Washington,10/11/2009,Walt Coleman,5,27,2,15,3,12,0,0,3,1,2,0,1,0,5,2009
Washington,Carolina,10/11/2009,Walt Coleman,4,20,1,5,2,10,1,5,2,1,1,0,1,0,5,2009
Pittsburgh,Detroit,10/11/2009,Ed Hochuli,6,59,4,25,1,27,1,7,3,3,0,0,2,0,5,2009
Detroit,Pittsburgh,10/11/2009,Ed Hochuli,6,66,5,51,1,15,0,0,1,1,0,0,1,0,5,2009
Dallas,Kansas City,10/11/2009,Ron Winter,13,90,7,45,6,45,0,0,7,4,3,0,1,1,5,2009
Kansas City,Dallas,10/11/2009,Ron Winter,7,50,6,45,1,5,0,0,3,3,0,0,0,1,5,2009
Oakland,N.Y. Giants,10/11/2009,John Parry,7,67,2,15,4,37,1,15,2,1,1,0,1,0,5,2009
N.Y. Giants,Oakland,10/11/2009,John Parry,4,37,1,15,1,9,2,13,0,0,0,0,0,0,5,2009
Philadelphia,Tampa Bay,10/11/2009,Terry McAulay,10,111,1,10,6,76,3,25,3,0,2,1,1,1,5,2009
Tampa Bay,Philadelphia,10/11/2009,Terry McAulay,4,30,2,15,1,5,1,10,1,1,0,0,0,1,5,2009
St. Louis,Minnesota,10/11/2009,Don Carey,7,82,2,15,2,36,3,31,1,1,0,0,2,0,5,2009
Minnesota,St. Louis,10/11/2009,Don Carey,5,44,1,4,4,40,0,0,2,1,1,0,0,0,5,2009
San Francisco,Atlanta,10/11/2009,Pete Morelli,8,92,2,20,3,32,3,40,0,0,0,0,2,0,5,2009
Atlanta,San Francisco,10/11/2009,Pete Morelli,8,90,7,65,1,25,0,0,3,3,0,0,2,0,5,2009
Houston,Arizona,10/11/2009,Tony Corrente,6,53,3,20,1,8,2,25,2,2,0,0,0,0,5,2009
Arizona,Houston,10/11/2009,Tony Corrente,7,40,5,30,2,10,0,0,4,3,1,0,0,0,5,2009
Denver,New England,10/11/2009,Carl Cheffers,3,20,1,10,1,5,1,5,1,0,1,0,2,2,5,2009
New England,Denver,10/11/2009,Carl Cheffers,4,46,1,15,3,31,0,0,1,0,1,0,0,2,5,2009
Jacksonville,Seattle,10/11/2009,Scott Green,9,73,2,10,4,30,3,33,3,2,1,0,1,0,5,2009
Seattle,Jacksonville,10/11/2009,Scott Green,1,10,1,10,0,0,0,0,0,0,0,0,2,0,5,2009
Tennessee,Indianapolis,10/11/2009,Walt Anderson,9,89,4,35,5,54,0,0,3,1,2,0,1,0,5,2009
Indianapolis,Tennessee,10/11/2009,Walt Anderson,7,48,4,30,2,10,1,8,3,2,1,0,2,0,5,2009
Miami,N.Y. Jets,10/12/2009,Al Riveron,8,112,3,19,4,83,1,10,2,2,0,0,1,0,5,2009
N.Y. Jets,Miami,10/12/2009,Al Riveron,6,56,4,31,1,15,1,10,2,2,0,0,0,0,5,2009
Cincinnati,Houston,10/18/2009,Bill Leavy,4,45,3,30,0,0,1,15,0,0,0,0,1,0,6,2009
Houston,Cincinnati,10/18/2009,Bill Leavy,7,60,3,30,3,25,1,5,3,0,2,1,4,0,6,2009
Green Bay,Detroit,10/18/2009,Jerome Boger,13,130,7,55,2,25,4,50,5,5,0,0,0,0,6,2009
Detroit,Green Bay,10/18/2009,Jerome Boger,6,40,2,10,4,30,0,0,5,2,3,0,3,0,6,2009
St. Louis,Jacksonville,10/18/2009,Jeff Triplette,6,52,2,15,4,37,0,0,1,1,0,0,0,0,6,2009
Jacksonville,St. Louis,10/18/2009,Jeff Triplette,2,10,1,5,1,5,0,0,2,1,1,0,0,0,6,2009
Baltimore,Minnesota,10/18/2009,Mike Carey,6,74,3,15,1,39,2,20,3,3,0,0,3,0,6,2009
Minnesota,Baltimore,10/18/2009,Mike Carey,3,15,2,10,1,5,0,0,3,2,1,0,3,0,6,2009
N.Y. Giants,New Orleans,10/18/2009,Ed Hochuli,9,110,3,30,4,50,2,30,4,1,3,0,2,0,6,2009
New Orleans,N.Y. Giants,10/18/2009,Ed Hochuli,6,55,5,40,1,15,0,0,2,2,0,0,0,0,6,2009
Pittsburgh,Cleveland,10/18/2009,Walt Anderson,4,30,3,25,1,5,0,0,2,1,1,0,1,0,6,2009
Cleveland,Pittsburgh,10/18/2009,Walt Anderson,4,45,2,15,2,30,0,0,1,1,0,0,0,0,6,2009
Carolina,Tampa Bay,10/18/2009,John Parry,3,30,0,0,1,5,2,25,1,0,1,0,1,0,6,2009
Tampa Bay,Carolina,10/18/2009,John Parry,5,40,4,35,1,5,0,0,1,1,0,0,1,0,6,2009
Kansas City,Washington,10/18/2009,Tony Corrente,4,30,2,15,0,0,2,15,1,0,0,1,0,0,6,2009
Washington,Kansas City,10/18/2009,Tony Corrente,7,63,3,20,2,21,2,22,2,2,0,0,0,0,6,2009
Oakland,Philadelphia,10/18/2009,Pete Morelli,3,23,1,5,2,18,0,0,1,1,0,0,1,1,6,2009
Philadelphia,Oakland,10/18/2009,Pete Morelli,4,38,1,5,3,33,0,0,1,1,0,0,0,1,6,2009
Arizona,Seattle,10/18/2009,Carl Cheffers,7,76,5,36,1,30,1,10,3,3,0,0,1,0,6,2009
Seattle,Arizona,10/18/2009,Carl Cheffers,6,56,2,26,4,30,0,0,3,1,2,0,0,0,6,2009
New England,Tennessee,10/18/2009,Gene Steratore,6,40,4,20,2,20,0,0,4,4,0,0,0,0,6,2009
Tennessee,New England,10/18/2009,Gene Steratore,6,55,1,10,4,40,1,5,3,0,2,1,0,0,6,2009
N.Y. Jets,Buffalo,10/18/2009,Walt Coleman,14,96,6,39,5,26,3,31,5,4,1,0,3,0,6,2009
Buffalo,N.Y. Jets,10/18/2009,Walt Coleman,8,64,3,25,2,20,3,19,3,1,1,1,2,0,6,2009
Chicago,Atlanta,10/18/2009,Terry McAulay,9,65,5,40,2,10,2,15,5,2,2,1,0,1,6,2009
Atlanta,Chicago,10/18/2009,Terry McAulay,6,70,2,20,4,50,0,0,2,0,2,0,0,1,6,2009
San Diego,Denver,10/19/2009,Scott Green,4,44,0,0,3,38,1,6,0,0,0,0,1,1,6,2009
Denver,San Diego,10/19/2009,Scott Green,4,48,2,9,2,39,0,0,3,2,1,0,2,1,6,2009
Chicago,Cincinnati,10/25/2009,Walt Anderson,6,44,3,20,2,19,1,5,2,2,0,0,1,0,7,2009
Cincinnati,Chicago,10/25/2009,Walt Anderson,3,20,1,10,2,10,0,0,2,0,2,0,1,0,7,2009
Cleveland,Green Bay,10/25/2009,Don Carey,5,40,2,15,3,25,0,0,1,1,0,0,0,0,7,2009
Green Bay,Cleveland,10/25/2009,Don Carey,8,70,2,20,5,45,1,5,2,0,1,1,0,0,7,2009
San Francisco,Houston,10/25/2009,Mike Carey,11,65,6,30,2,10,3,25,7,6,1,0,1,0,7,2009
Houston,San Francisco,10/25/2009,Mike Carey,7,77,2,20,4,47,1,10,3,1,2,0,3,0,7,2009
San Diego,Kansas City,10/25/2009,Pete Morelli,9,59,4,25,4,29,1,5,5,3,2,0,0,0,7,2009
Kansas City,San Diego,10/25/2009,Pete Morelli,7,41,5,35,2,6,0,0,2,2,0,0,0,0,7,2009
Pittsburgh,Minnesota,10/25/2009,Ron Winter,3,15,1,10,2,5,0,0,2,0,2,0,2,0,7,2009
Minnesota,Pittsburgh,10/25/2009,Ron Winter,11,78,8,50,3,28,0,0,7,6,1,0,0,0,7,2009
Indianapolis,St. Louis,10/25/2009,Carl Cheffers,6,51,2,15,2,20,2,16,2,1,1,0,0,0,7,2009
St. Louis,Indianapolis,10/25/2009,Carl Cheffers,5,73,3,25,2,48,0,0,2,1,1,0,0,0,7,2009
Tampa Bay,New England,10/25/2009,Jerome Boger,6,55,4,40,1,5,1,10,3,2,1,0,2,0,7,2009
New England,Tampa Bay,10/25/2009,Jerome Boger,10,66,8,56,0,0,2,10,6,4,0,2,0,0,7,2009
Carolina,Buffalo,10/25/2009,Terry McAulay,9,67,5,39,2,8,2,20,4,3,1,0,0,1,7,2009
Buffalo,Carolina,10/25/2009,Terry McAulay,3,22,2,7,1,15,0,0,2,2,0,0,0,1,7,2009
Oakland,N.Y. Jets,10/25/2009,Gene Steratore,3,24,0,0,2,14,1,10,0,0,0,0,1,0,7,2009
N.Y. Jets,Oakland,10/25/2009,Gene Steratore,2,8,1,5,0,0,1,3,1,1,0,0,1,0,7,2009
Atlanta,Dallas,10/25/2009,Scott Green,3,30,2,20,0,0,1,10,1,1,0,0,3,0,7,2009
Dallas,Atlanta,10/25/2009,Scott Green,8,50,6,40,2,10,0,0,6,4,2,0,1,0,7,2009
New Orleans,Miami,10/25/2009,John Parry,6,25,3,10,2,10,1,5,5,3,1,1,0,0,7,2009
Miami,New Orleans,10/25/2009,John Parry,8,55,4,15,4,40,0,0,5,3,2,0,2,0,7,2009
N.Y. Giants,Arizona,10/25/2009,Al Riveron,7,30,6,25,1,5,0,0,6,5,1,0,0,0,7,2009
Arizona,N.Y. Giants,10/25/2009,Al Riveron,7,60,3,30,3,25,1,5,3,1,2,0,0,0,7,2009
Philadelphia,Washington,10/26/2009,Bill Leavy,12,66,6,27,4,17,2,22,7,4,3,0,0,0,7,2009
Washington,Philadelphia,10/26/2009,Bill Leavy,6,60,3,25,1,15,2,20,1,1,0,0,1,0,7,2009
Baltimore,Denver,11/01/2009,Walt Coleman,8,94,4,45,3,44,1,5,2,1,1,0,0,0,8,2009
Denver,Baltimore,11/01/2009,Walt Coleman,6,35,1,10,3,15,2,10,4,0,2,2,0,0,8,2009
Houston,Buffalo,11/01/2009,Gene Steratore,5,45,1,5,1,15,3,25,2,1,0,1,0,0,8,2009
Buffalo,Houston,11/01/2009,Gene Steratore,4,36,1,6,2,20,1,10,1,0,1,0,0,0,8,2009
Chicago,Cleveland,11/01/2009,Al Riveron,5,35,2,10,0,0,3,25,2,2,0,0,0,0,8,2009
Cleveland,Chicago,11/01/2009,Al Riveron,3,30,0,0,2,20,1,10,0,0,0,0,0,0,8,2009
Dallas,Seattle,11/01/2009,Jerome Boger,5,43,1,10,3,25,1,8,1,0,1,0,0,0,8,2009
Seattle,Dallas,11/01/2009,Jerome Boger,6,53,1,5,5,48,0,0,3,1,2,0,0,0,8,2009
Detroit,St. Louis,11/01/2009,Ron Winter,8,67,4,30,4,37,0,0,3,2,1,0,0,1,8,2009
St. Louis,Detroit,11/01/2009,Ron Winter,5,27,4,25,0,0,1,2,3,3,0,0,2,1,8,2009
Green Bay,Minnesota,11/01/2009,Tony Corrente,6,45,2,14,2,16,2,15,1,0,0,1,0,1,8,2009
Minnesota,Green Bay,11/01/2009,Tony Corrente,3,29,1,10,2,19,0,0,0,0,0,0,2,1,8,2009
Indianapolis,San Francisco,11/01/2009,Ed Hochuli,5,38,2,15,2,18,1,5,2,1,1,0,0,0,8,2009
San Francisco,Indianapolis,11/01/2009,Ed Hochuli,7,50,4,35,2,10,1,5,4,2,2,0,0,0,8,2009
Miami,N.Y. Jets,11/01/2009,Don Carey,4,25,1,10,3,15,0,0,1,0,1,0,1,0,8,2009
N.Y. Jets,Miami,11/01/2009,Don Carey,6,40,3,15,2,20,1,5,4,3,1,0,0,0,8,2009
Oakland,San Diego,11/01/2009,Terry McAulay,6,31,4,21,2,10,0,0,5,4,1,0,0,0,8,2009
San Diego,Oakland,11/01/2009,Terry McAulay,5,40,4,35,0,0,1,5,3,2,0,1,1,0,8,2009
Jacksonville,Tennessee,11/01/2009,Pete Morelli,2,27,2,27,0,0,0,0,0,0,0,0,0,1,8,2009
Tennessee,Jacksonville,11/01/2009,Pete Morelli,4,20,0,0,3,15,1,5,3,0,3,0,0,2,8,2009
Arizona,Carolina,11/01/2009,Mike Carey,5,35,4,30,0,0,1,5,3,2,0,1,1,0,8,2009
Carolina,Arizona,11/01/2009,Mike Carey,7,72,3,25,3,37,1,10,2,2,0,0,1,0,8,2009
Philadelphia,N.Y. Giants,11/01/2009,Carl Cheffers,5,45,2,15,2,20,1,10,2,1,1,0,0,2,8,2009
N.Y. Giants,Philadelphia,11/01/2009,Carl Cheffers,4,25,3,20,1,5,0,0,3,3,0,0,1,2,8,2009
New Orleans,Atlanta,11/02/2009,Jeff Triplette,7,65,3,35,2,10,2,20,2,0,2,0,1,0,8,2009
Atlanta,New Orleans,11/02/2009,Jeff Triplette,4,25,2,15,2,10,0,0,2,1,1,0,1,0,8,2009
Washington,Atlanta,11/08/2009,Ron Winter,10,88,4,29,4,39,2,20,5,2,2,1,2,0,9,2009
